dateExam,h_debut,h_fin,session,type ex,semestre,enseignant,cod_salle
27/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,001,B103
27/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,001,B203
27/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,001,B402
27/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,029,C401
27/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,029,C402
27/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,033,A207
27/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,033,A406
27/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,034,B302
27/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,034,B303
27/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,034,B402
27/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,040,A124
27/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,040,A131
27/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,040,A102
27/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,044,B302
27/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,044,B303
27/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,048,A102
27/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,050,A207
27/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,050,A406
27/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,053,A206
27/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,053,A208
27/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,053,A209
27/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,060,A329
